id,predicted_label
116,0
347,0
329,0
975,0
588,0
260,0
53,0
456,0
342,1
678,1
236,1
466,1
852,0
376,1
222,0
603,1
108,0
740,1
150,0
384,0
841,1
507,0
220,0
978,0
723,0
135,0
129,0
855,0
380,0
511,0
272,0
302,1
797,0
533,0
323,0
579,1
424,0
627,0
524,0
297,0
951,1
189,0
545,0
901,1
431,0
478,1
373,0
542,0
549,1
752,1
599,0
333,1
615,0
845,0
12,1
916,0
791,0
278,0
262,1
130,0
183,0
989,1
369,1
493,0
117,0
970,0
664,0
436,0
330,0
927,1
337,0
993,0
719,0
449,0
200,0
583,0
706,0
387,0
949,0
730,0
726,0
805,0
994,1
680,0
890,0
309,0
71,0
280,0
548,0
897,1
716,0
221,0
876,0
954,1
229,0
580,0
683,0
905,0
941,0
794,0
292,1
773,0
476,1
847,0
217,1
139,0
684,0
535,0
634,0
161,0
818,0
123,0
193,0
514,0
908,0
676,0
697,0
945,1
718,0
679,1
31,0
878,0
710,0
534,0
757,0
294,0
775,0
565,0
354,1
480,0
134,0
669,0
47,0
571,1
14,0
133,0
700,0
318,0
633,0
800,0
854,1
298,0
258,0
762,0
659,1
119,0
939,1
786,0
464,0
390,0
179,0
892,0
891,0
300,0
767,1
3,0
942,0
727,0
516,0
564,0
787,0
269,0
932,0
572,0
576,0
934,0
918,0
371,0
561,0
563,0
807,0
665,0
529,1
131,0
886,1
515,0
413,0
591,0
264,0
654,0
448,0
359,0
274,0
405,0
699,0
782,0
525,0
396,1
474,0
803,0
310,0
635,1
79,0
167,1
967,0
849,0
543,0
303,0
195,1
113,0
206,0
2,0
666,0
23,0
948,0
531,0
160,0
277,0
320,0
339,1
168,0
39,0
142,1
86,0
356,1
284,0
379,0
832,1
172,0
44,0
283,0
658,0
188,0
48,0
156,1
804,0
338,0
789,1
192,1
746,0
780,1
237,0
922,0
672,0
22,0
801,0
552,0
819,0
437,0
857,0
143,1
331,0
90,1
743,0
747,1
725,0
769,0
792,0
682,0
595,1
432,0
997,1
692,0
65,0
999,1
169,0
843,0
259,0
884,0
191,0
7,0
859,0
621,0
29,0
811,0
937,0
84,0
504,1
230,1
668,0
806,1
756,1
523,1
97,0
764,0
609,0
833,1
631,1
402,0
348,1
663,0
871,0
802,0
888,1
235,0
481,0
846,0
538,0
520,0
795,0
255,0
374,0
290,1
305,0
162,0
486,0
648,0
861,0
434,0
201,0
